KODE,NAMA BAHAN,SUMBER,ENERGI,PROTEIN,LEMAK,KH,SERAT,Cluster
BR005,"Bengkuang, segar",DABM- 1964,59,1.4,0.2,12.8,1,0
BR006,"Bentul (Komba), talas, segar",KZGPI- 1990,98,1.6,0.7,20.9,0.7,0
BR007,"Gadeng/Gadung, kering",KZGMI-2001,322,2.4,0.6,76.6,,2
BR008,"Gadung, ubi, segar",KZGPI- 1990,100,0.9,0.3,23.5,2.1,0
BR013,"Kentang, segar",KZGPI- 1990,62,2.1,0.2,13.5,0.5,0
BR014,"Kentang hitam, segar",DABM- 1964,142,0.9,0.4,33.7,5.4,0
BR015,"Keribang, ubi, segar",KZGPI- 1990,137,1.3,1.1,29.8,0.6,0
BR016,"Ketela pohon/singkong, segar",KZGPI- 1990,154,1,0.3,36.8,0.9,0
BR025,"Talas bogor, segar",KZGPI- 1990,108,1.4,0.4,25,0.9,0
BR028,"Ubi jalar, kuning, segar",KZGMI-2001,119,0.5,0.4,25.1,4.2,0
BR029,"Ubi jalar manis, segar",KZGPI- 1990,83,1.5,0.2,18.8,0.6,0
BR030,"Ubi jalar merah, segar",KZGPI- 1990,151,1.6,0.3,35.4,0.7,0
BR031,"Ubi jalar putih, segar",KZGMI-2001,88,0.4,0.4,20.6,4,0
BR032,Ubi jalar tinta/kemayung,KZGMI-2001,108,0.5,0.4,25.6,4.2,0
BR033,"Umbi Uwi, segar",BKP,120,2.8,0.5,82.3,2.6,0
BP010,"Talas bogor, kukus",KZGPI- 1990,120,1.5,0.3,28.2,0.7,0
BP011,"Ubi jalar, kuning, kukus",KZGPI- 1990,100,0.7,0.3,23.8,1,0
BP012,Ubi jalar tinta/kemayung kukus,KZGPI- 1990,165,0.9,0.2,39.8,1.1,0
BP022,Biji nangka/Biji salak,KZGMI-2001,262,2.3,5.4,51.1,8,0
BP023,Bubur sagu,KZGMI-2001,167,0.2,4,33,,0
BP024,Cassavastick,KZGPI- 1990,460,0.8,18.7,71.8,1.6,2
BP025,Ceriping getuk singkong,KZGPI- 1990,462,1.2,20.7,67.7,0.6,2
BP028,Getuk goreng,KZGPI- 1990,360,1.3,6.4,74.3,0.8,2
BP029,Getuk singkong,KZGPI- 1990,204,0.5,1.4,47.4,0.8,0
BP030,Gurandil,KZGPI- 1990,218,0.5,2.5,48.5,3.1,0
BP031,Kabuto,KZGMI-2001,250,2.6,2.5,35.4,1.8,0
BP032,Kapurung,KZGMI-2001,41,2,0.3,7.8,2,0
BP033,Kecimpring singkong goreng,KZGPI- 1990,464,1.2,18.6,73,1.3,2
BP034,Keremes,KZGPI- 1990,475,1.6,25.2,64.4,2.1,2
BP035,Keripik gadung,KZGPI- 1990,446,2.8,14.5,76,1.7,2
BP036,Keripik kentang,KZGMI-2001,448,2.7,18.8,67.1,3.8,2
BP037,Keripik singkong,KZGPI- 1990,478,0.9,20.7,72,2,2
BP038,Keripik singkong berbumbu,KZGPI- 1990,481,2.2,19.7,73.6,1.6,2
BP039,Keripik ubi,KZGMI-2001,486,0.2,23.9,67.6,14.3,2
BP040,Kerupuk cumi goreng,KZGMI-2001,444,6.9,14.6,71.3,5,2
BP041,Kerupuk kemplang (ikan) mentah,KZGMI-2001,325,1.8,0.4,78.5,4.5,2
BP042,Kerupuk kemplang goreng,KZGPI- 1990,504,5.6,28.1,57.1,0.3,2
BP043,Kerupuk kemplang panggang,KZGPI- 1990,356,9.7,1.1,76.9,1,2
BP044,Kerupuk mie kuning goreng,KZGPI- 1990,476,0.1,21.1,71.3,4.2,2
BP045,Kerupuk udang goreng,KZGMI-2001,477,4.7,20.5,68.5,5,2
BP046,Kue bangket,KZGMI-2001,338,1.5,1.2,80.3,,2
BP047,Kue putu singkong,KZGMI-2001,217,1.2,0.5,53.2,2.4,0
BP048,Lanting getuk,KZGPI- 1990,422,0.9,10.8,80.4,1.4,2
BP049,Mi golosor,KZGPI- 1990,71,0.2,0.8,15.9,0.1,0
BP050,Mie Bendo,BKP,353,0.3,0,88,2.4,2
BP051,Mie Sagu,BKP,190,0.2,0.4,46.5,1.4,0
BP052,Ongol-ongol sagu,KZGPI- 1990,111,0.3,2.7,21.2,0.3,0
BP053,Oyek,BKP,351,0.9,0.9,84.9,4.3,2
BP054,Papeda,KZGMI-2001,61,0.2,0.1,14.9,0.5,0
BP055,Rasbi (Beras Ubi),BKP,394,2.2,8.8,76.6,6.8,2
BP056,Rasi (Beras Singkong),BKP,350,0.9,0.4,85.7,14.4,2
BP057,Sagu forno,KZGMI-2001,291,0.5,4,63.4,,0
BP058,Sagu Lemak (Kue Sagon),BKP,452,2.8,14.8,76.8,1.1,2
BP059,Sagu manis,KZGMI-2001,287,0.5,3.9,62.4,,0
BP060,Sagu Rendang,BKP,364,0.1,0.2,90.5,1.9,2
BP061,Sagu sinole,KZGMI-2001,354,0.8,8.3,68.9,,2
BP062,Serimping talas kebumen,KZGPI- 1990,478,2.5,21.2,69.2,1.7,2
BP063,Tapai singkong,KZGPI- 1990,169,1.4,0.3,40.2,2,0
BP064,Tepung Arrowroot,DABM- 1964,355,0.7,0.2,85.2,0.4,2
BP065,Tepung Ganyong,BKP,353,0.8,1.7,83.6,0.7,2
BP066,Tepung Gaplek,BKP,345,2.4,0.4,83.1,6.7,2
BP067,"Tepung kentang, kering",DABM- 1964,347,0.3,0.1,85.6,0.4,2
BP068,Tepung Mocaf,BKP,350,1.2,0.6,85,6,2
BP069,Tepung Sente,BKP,326,4,0.4,76.7,8.5,2
BP070,Tepung singkong/Tapioka,DABM- 1964,363,1.1,0.5,88.2,0.9,2
BP071,Tepung Tales Beneng,BKP,332,5.7,0.6,76.1,12.2,2
BP072,Tepung Ubi Ungu,BKP,354,2.8,0.6,84.4,12.9,2
BP073,Tiwul,BKP,353,2.4,1.1,83.4,6.5,2
BP074,Tiwul Instan,BKP,395,3.2,8.5,76.5,4.2,2
BP075,Ubi Cilembu,BKP,186,1.9,0.2,44.3,3.4,0
BP076,Uli batatas,KZGMI-2001,150,1.1,4,27.4,,0
CR001,"Kacang arab, kering",DABM-1964,330,23.8,1.4,60.2,17.4,2
CR003,"Kacang belimbing (kecipir), kering",KZGPI-1990,400,34.4,16.9,34.1,10.7,2
CR004,"Kacang beracun, segar",KZGMI-2001,118,4.4,1.5,21.6,,0
CR005,"Kacang bogor, kering",DABM-1964,370,16,6,65,26.3,2
CR006,"Kacang bogor, segar",KZGPI-1990,165,7.7,3.1,27.4,2.5,0
CR007,"Kacang endel, biji, kering",DABM-1964,331,25,1,58,23.6,2
CR008,"Kacang ercis, segar",KZGMI-2001,129,12.4,0.7,18.3,28.6,0
CR009,"kacang galing, segar",DABM-1964,336,23.1,1.7,59.5,,2
CR010,"Kacang gude, biji, kering",KZGPI-1990,316,20.7,1,58,4.6,2
CR011,"Kacang gude, biji, segar",DABM-1964,114,7,0.6,20.8,4.4,0
CR012,"Kacang hijau var, bakti, kering",KZGPI-1990,350,17.1,1.8,70.7,5.7,2
CR013,"Kacang hijau var, siwalik, kering",KZGPI-1990,339,20.8,2.1,64.6,7.4,2
CR014,"Kacang hijau, kering",KZGPI-1990,323,22.9,1.5,56.8,7.5,2
CR015,"Kacang hitam, kering",KZGMI-2001,346,16.6,1.7,66.1,22.8,2
CR016,"Kacang kapri, segar",DABM-1964,98,6.7,0.4,17.7,6.2,0
CR017,"Kacang kedelai, kering",KZGPI-1990,381,40.4,16.7,24.9,3.2,2
CR018,"Kacang kedelai, segar",DABM-1964,286,30.2,15.6,30.1,2.9,2
CR019,"Kacang kincai, kering",KZGMI-2001,444,19.9,16,55,,2
CR020,"Kacang komak, segar",KZGMI-2001,327,16.4,4.3,55.8,0.5,2
CR021,"Kacang kuning, kering",KZGMI-2001,355,17,2.5,66,15.1,2
CR022,"Kacang lebui /iris, kering",KZGMI-2001,346,16.5,1.5,66.6,37.3,2
CR023,"Kacang mentega, kering",KZGMI-2001,344,16.7,2.1,64.6,13,2
CR024,"Kacang merah /banda, kering",KZGMI-2001,350,13.9,3,66.9,26.3,2
CR025,"Kacang merah tua, kering",KZGPI- l990,280,16.7,1.6,63.2,4.6,2
CR026,"Kacang merah, kering",KZGPI- l990,314,22.1,1.1,56.2,4,2
CR027,"Kacang merah, segar",KZGPI- l990,171,11,2.2,28,2.1,0
CR028,"Kacang mete/biji jambu monyet, segar",KZGMI-2001,616,16.3,48.4,28.7,0.9,2
CR029,"Kacang panjang, biji, kering",DABM-1964,357,17.3,1.5,68.6,10.6,2
CR030,Kacang tanah sangan,KZGPI- l990,560,29.5,43,24.1,2.9,2
CR031,Kacang tanah sangan tanpa selaput,DABM-1964,559,26.9,44.2,23.6,2.6,2
CR032,"Kacang tanah, kering",KZGPI- l990,525,27.9,42.7,17.4,2.4,2
CR033,"Kacang tolo / tunggak, kering",KZGPI- l990,331,24.4,1.9,56.6,1.6,2
CR034,"Kacang tunis, kering",KZGMI-2001,351,12.2,1.2,72.9,29.5,2
CR035,"Kacang uci, kering",KZGPI- l990,358,23.4,2.4,60.6,7.4,2
CR036,"Kacang urei, kering",KZGMI-2001,354,12.8,1.8,69.3,26.1,2
CR037,"Kenari banda, kering",KZGMI-2001,616,13.9,56.2,13.7,,2
CR038,"Kenari, kering",DABM-1964,657,15,66,13,,2
CR039,"Komak polong, segar",KZGMI-2001,99,3.3,0.1,21.2,10.3,0
CR040,"Koro andong, kering",KZGPI- 1990,356,20.5,4.1,61.6,7,2
CR041,"Koro benguk, biji, kering",DABM-1964,332,24,3,55,5.6,2
CR042,"Koro kerupuk, biji, segar",DABM-1964,125,8.3,0.7,22.1,2.2,0
CR043,"Koro loke, biji, segar",DABM-1964,33,2.7,0.2,7.9,3.5,0
CR044,"Koro roay, kering",KZGPI- 1990,344,12.5,2.1,69.4,7.5,2
CR045,"Koro wedus, biji, kering",DABM-1964,338,22.2,1.5,61,5.8,2
CR046,"Lamtoro biji, muda, segar",DABM-1964,85,5.7,0.3,15.4,10.8,0
CR047,"Lamtoro biji, tua, segar",DABM-1964,148,10.6,0.5,26.2,17,0
CR048,"Lamtoro var, gung tanpa kulit",KZGPI- 1990,367,46.4,5.4,32.5,2.6,2
CR049,"Lamtoro var, lokal dengan kulit",KZGPI- 1990,336,23.8,1.2,59.7,15.4,2
CR050,"Nangka, biji, segar",DABM-1964,165,4.2,0.1,36.7,1.8,0
CR051,"Saga merah terkupas, mentah",KZGPI- 1990,449,30.6,25.5,31.9,3.5,2
CR052,"Wijen, mentah",DABM-1964,568,19.3,51.1,18.1,3.6,2
CP001,"Kacang belimbing, rebus",KZGPI-1990,204,16.9,8.8,17.5,4.8,0
CP002,"Kacang bogor, goreng",KZGPI-1990,479,12.7,23.2,58.9,1.2,2
CP003,"Kacang bogor, rebus",KZGPI-1990,161,7.7,2.8,27.2,2,0
CP004,"Kacang gude, rebus",KZGPI-1990,147,9,0.5,27.5,3.4,0
CP005,"kacang hijau, rebus",KZGPI-1990,109,8.7,0.5,18.3,1.5,0
CP006,"Kacang kedelai, goreng",KZGPI-1990,521,32.2,37.7,22.9,7.6,2
CP007,"Kacang kedelai, rebus",KZGPI-1990,189,20.2,8.2,12.7,1.6,0
CP008,"Kacang merah kering, rebus",KZGPI- l990,158,10.3,0.9,28.2,2.6,0
CP009,"Kacang merah segar, rebus",KZGPI- l990,144,10,1,24.7,3.5,0
CP010,"Kacang mete/biji jambu monyet, goreng",KZGPI- 1990,629,20.4,56.3,19.8,1.1,2
CP011,Kacang tanah rebus dg kulit,DABM-1964,360,13.5,31.2,12.8,,2
CP012,"Kacang tanah, goreng",KZGPI- l990,564,25.5,44.4,25.5,2.8,2
CP013,"Kacang tanah, rebus",KZGPI- l990,220,10.6,28,8,1,2
CP014,"Kacang tolo, rebus",KZGPI- l990,138,10.7,1.1,22.6,0.9,0
CP015,Ampas kacang hijau,KZGPI- 1990,96,3.7,0.6,19.1,2.7,0
CP016,"Ampas tahu, mentah",KZGPI- 1990,67,5,2.1,8.1,4.1,0
CP017,Ampas tahu kukus,KZGPI- 1990,75,4.1,2.1,10.7,5.1,0
CP018,"Ampas tahu, kering",DABM-1964,414,26.6,18.3,41.3,0,2
CP019,Pepea oncom ampas tahu,KZGPI- 1990,76,5.2,1.8,10.6,2.2,0
CP020,Bungkil biji karet,DABM-1964,210,30,10,10,,2
CP021,Bungkil kacang tanah,DABM-1964,365,45,13,17,,2
CP022,Bungkil kelapa,DABM-1964,36,23,15,35,,0
CP023,Dodol banjarmasin,KZGMI-2001,368,2.6,8.6,70,0.5,2
CP024,Emping (kerupuk melinjo),DABM-1964,300,12,1.5,61,,2
CP025,Emping komak,KZGMI-2001,355,17.8,4.6,60.7,,2
CP026,Enting-enting gepuk hello kity,KZGPI- 1990,538,13.6,30.3,52.6,0.2,2
CP027,Enting-enting gepuk kacang tanah,KZGPI- 1990,524,13.3,29.2,52.2,0.2,2
CP028,Enting-enting wijen,KZGPI- 1990,565,18.2,38.4,36.8,1.9,2
CP029,Geplak,KZGMI-2001,350,1.4,14.4,53.6,1.8,2
CP030,Geplak jahe,KZGMI-2001,462,3.1,24.4,57.7,3.3,2
CP031,Kacang atom,KZGPI- 1990,533,27.8,38.1,28.8,2.5,2
CP032,Kacang goyang,KZGMI-2001,516,14.7,31.1,44.4,,2
CP033,Kacang negara,KZGMI-2001,480,18.4,19.1,58.5,11.7,2
CP034,Kacang sukro,KZGPI- 1990,484,8.8,26.1,57.7,1.8,2
CP035,Kacang tanah sari,KZGPI- 1990,561,25.5,43.8,26,2.2,2
CP036,Keju kacang tanah (peanut butter),DABM-1964,590,27,49,20.9,1.6,2
CP037,Kembang tahu,KZGPI- 1990,380,48.9,13.8,23.3,0,2
CP038,Kembang tahu rebus,KZGPI- 1990,90,10.7,4,4.7,,0
CP039,Keripik oncom,KZGPI- 1990,598,8.3,43.8,42.6,3.3,2
CP040,Keripik tempe,KZGPI- 1990,581,12.1,40.6,41.7,2.2,2
CP041,Keripik tempe abadi besar,KZGPI- 1990,556,15.8,37.1,39.8,3.5,2
CP042,Keripik tempe abadi murni,KZGPI- 1990,542,40.3,42.4,11.6,2.2,2
CP043,Keripik tempe abadi sedang,KZGPI- 1990,510,12.3,27.9,52.4,3.6,2
CP044,Keripik tempe abadi telur,KZGPI- 1990,529,20.8,31.7,40.2,3,2
CP045,Kerupik tempe abadi prima,KZGPI- 1990,540,16.7,33.9,42,2.2,2
CP046,Kwaci,DABM-1964,515,30.6,42.1,13.8,13.6,2
CP047,Melinjo emping tebal goreng manis,KZGPI- 1990,439,10,16.4,65.7,,2
CP048,"Melinjo emping tebal, goreng asin",KZGPI- 1990,431,11.1,16.2,63,,2
CP049,Melinjo emping tipis goreng,KZGPI- 1990,485,11.5,24.5,59.1,,2
CP050,Moon tahu,KZGMS-1993,128,8,10,1.3,0.2,0
CP051,Oncom,DABM-1964,187,13,6,22.6,,0
CP052,Oncom ampas kacang hijau,KZGPI- 1990,376,14.9,6,65.7,12.3,2
CP053,Oncom kacang hijau + singkong,KZGPI- 1990,351,11,5.3,65.9,9,2
CP054,Oncom kacang tanah pepes,KZGPI- 1990,132,12.7,3.8,13.7,3.1,0
CP055,Rempeyek kacang tanah,KZGPI- 1990,513,17.5,32.5,44.3,1.7,2
CP056,Rempeyek kacang tolo,KZGPI- 1990,451,11.2,20.2,59.7,1.8,2
CP057,Rempeyek kacang uci,KZGPI- 1990,497,17,27.6,50.8,2.4,2
CP058,Sayur lebui,KZGMI-2001,64,2.1,0.6,12.5,5.7,0
CP059,"Saridele, bubuk",DABM-1964,344,30,20,43,6.2,2
CP060,Susu kedelai,DABM-1964,41,3.5,2.5,5,0.2,0
CP061,"Tahu, mentah",KZGPI- 1990,80,10.9,4.7,0.8,0.1,0
CP062,Tahu goreng,KZGPI- 1990,115,9.7,8.5,2.5,0.1,0
CP063,Tahu telur,KZGMS-1993,328,12.6,19.9,24.6,0.4,2
CP064,Takwa,KZGPI- 1990,148,13.8,8.5,4,0,0
CP065,Tauco,KZGPI- 1990,184,11.4,5.5,22.2,1.9,0
CP066,"Tauco cap beruang, cake",KZGPI- 1990,347,7.4,5.2,67.6,3.2,2
CP067,"Tauco cap DAS, cake",KZGPI- 1990,358,7.5,4.3,70.4,3.1,2
CP068,Tauco cap meong,KZGPI- 1990,159,7.4,4.9,21.3,1.6,0
CP069,Tauji cap singa,KZGPI- 1990,277,9.1,4.7,49.6,1.2,2
CP070,Tempe bongkrek,DABM-1964,88,10,4,3,,0
CP071,Tempe gembus P3G,KZGPI- 1990,73,5.7,1.3,10.3,4.2,0
CP072,Tempe gembus yogya,KZGPI- 1990,76,6.8,0.7,10.6,5.3,0
CP074,Tempe kacang belimbing,KZGPI- 1990,212,17.5,10,12.9,2.9,2
CP075,Tempe kedelai + jagung,KZGPI- 1990,143,12,5.5,11.4,1.9,0
CP076,"Tempe kedelai murni, goreng",KZGPI- 1990,350,24.5,26.6,10.4,4.2,2
CP077,"Tempe kedelai murni, mentah",KZGPI- 1990,201,20.8,8.8,13.5,1.4,2
CP078,Tempe koro benguk,DABM-1964,141,10.2,1.3,23.2,,0
CP079,Tempe lamtoro,KZGPI- 1990,128,10.7,0.5,21.3,7.1,0
CP080,"Tempe lamtoro var, gung dengan kulit",KZGPI- 1990,19.6,7.6,1.3,128,41,0
CP081,"Tempe lamtoro var, gung tanpa kulit",KZGPI- 1990,13,1.3,1.1,95,154,0
CP082,Tempe pasar,KZGPI- 1990,9.1,1.4,0.9,517,202,1
CP083,Tempe pasar goreng,KZGPI- 1990,7.8,3.4,1.3,156,350,1
CP084,Tepung hunkwe (pati kacang ijo),DABM-1964,83.5,16.1,1,50,100,0
CP085,Tepung Jalejo,BKP,61.2,5.8,2.3,101,663,1
CP086,Tepung kacang kedelai,DABM-1964,29.9,5.8,4,195,544,1
DR008,"Bayam, segar",KZGPI-1990,2.9,0.7,1.3,166,76,0
DR009,"Bayam merah, segar",KZGMI-2001,6.3,2.2,2.2,520,80,1
DR010,"Bit, segar",DABM-1964,9.6,2.6,1.1,27,43,0
DR013,"Buncis, segar",KZGPI-1990,7.2,1.9,0.5,101,42,0
DR014,"Bunga pepaya, segar",KZGPI-1990,8.1,1.6,1.7,290,113,1
DR033,"Daun kacang panjang, segar",KZGPI-1990,30,3.1,0.3,5.8,1.7,0
DR034,"Daun kasbi/singkong karet, segar",KZGMI-2001,92,4,3.6,10.9,5.8,0
DR035,"Daun katuk, segar",KZGPI-1990,59,6.4,1,9.9,1.5,0
DR036,"Daun kecipir, segar",DABM-1964,52,5,0.5,8.5,,0
DR037,"Daun kedondong, segar",DABM-1964,59,3.5,0.3,13.4,10.7,0
DR038,"Daun kelor, segar",KZGMI-2001,92,5.1,1.6,14.3,8.2,0
DR039,"Daun kemangi, segar",DABM-1964,43,5.5,0.3,7.5,8.4,0
DR040,"Daun kenikir, segar",BKP,45,3.7,0.5,6.6,5.8,0
DR041,"Daun kesum, segar",KZGPI-1990,48,4.5,0.8,9.1,1.6,0
DR042,"Daun kol sawi, segar",KZGPI-1990,22,2.1,0.5,3.6,0.9,0
DR044,"Daun kubis, segar",KZGMI-2001,51,2.5,1.1,8,3.4,0
DR046,"Daun labu siam, segar",DABM-1964,34,4,0.4,4.7,3.5,0
DR047,"Daun labu waluh/kuning, segar",DABM-1964,34,3.6,0.6,4.5,2.9,0
DR048,"Daun lamtoro, segar",KZGPI-1990,87,8.3,1.8,14.4,3.3,0
DR050,"Daun leunca, segar",DABM-1964,49,4.7,0.5,8.1,,0
DR051,"Daun lobak, segar",DKBM-1964,30,2.3,0.4,5.8,3.2,0
DR055,"Daun melinjo, segar",DABM-1964,104,5,1.3,21.3,10.3,0
DR056,"Daun mengkudu, segar",KZGPI-1990,65,4,1.7,11.4,3.9,0
DR058,"Daun oyong, segar",DABM-1964,22,1,0.1,5.3,2,0
DR059,"Daun pakis, segar",KZGPI-1990,39,4.5,0.4,6.9,2,0
DR060,"Daun pakis longgiho, segar",KZGMI-2001,54,2.2,3.6,3.1,2.1,0
DR061,"Daun pakis wambateu, segar",KZGMI-2001,53,3.4,1.2,7.2,4.8,0
DR062,"Daun paku, segar",KZGMI-2001,29,3.4,0.1,6.5,4.3,0
DR064,"Daun pare, segar",KZGMI-2001,49,2.7,1,8.4,3,0
DR065,"Daun pepaya, segar",DABM-1964,87,8,2,11.9,1.5,0
DR068,"Daun semanggi, segar",KZGPI-1990,45,4.4,0.5,8.5,1.9,0
DR070,"Daun singkil, segar",KZGPI-1990,68,2,1,15.2,3.3,0
DR071,"Daun singkong, segar",KZGPI-1990,50,6.2,1.1,7.1,2.4,0
DR072,"Daun singkong ambon, segar",DABM-1964,144,12.7,1.2,25.2,10.2,0
DR073,"Daun singkong ampenan, segar",KZGMI-2001,50,6.2,1.1,71,2.4,0
DR074,"Daun singkong kopang, segar",KZGMI-2001,74,6.3,0.7,10.7,4.6,0
DR075,"Daun sintrong, segar",KZGPI-1990,36,2.6,0.9,6.1,1.7,0
DR076,"Daun talas, segar",KZGPI-1990,59,3,0.4,13.5,3,0
DR077,"Daun tespong, segar",DABM-1964,70,2.9,0.3,13.9,2.3,0
DR078,"Daun ubi kuning, segar",KZGMI-2001,62,3.7,0.3,11.1,6.4,0
DR079,"Daun ubi merah, segar",KZGPI-1990,48,3,0.3,10.8,1.4,0
DR080,"Daun ubi putih, segar",KZGMI-2001,46,2.8,0.2,8.2,4.8,0
DR081,"Daun ubi tinta, segar",KZGMI-2001,55,1.7,0.1,11.9,7.6,0
DR083,"Gambas (oyong), segar",DABM-1964,19,0.8,0.2,4.1,1.3,0
DR084,"Genjer, segar",DABM-1964,35,1.7,0.2,7.7,2.5,0
DR085,"Jagung muda / semi, segar",DABM-1964,35,2.2,0.1,7.4,1.9,0
DR086,Jamur encik,KZGMI-2001,296,9.4,1.1,62,,2
DR087,"Jamur kuping, kering",DABM-1964,294,16,0.9,64.6,46.5,2
DR088,"Jamur kuping, segar",DABM-1964,21,3.8,0.6,0.9,5.1,0
DR089,"Jamur merang, segar",BKP,30,3.5,0.2,4,2.4,0
DR090,"Jamur tiram, segar",BKP,30,1.9,0.1,5.5,3.6,0
DR091,Jamur sagu,KZGMI-2001,48,1.9,3.2,2.8,1,0
DR092,"Jantung pisang, segar",DABM-1964,32,1.2,0.3,7.1,3.2,0
DR093,"Jengkol, segar",KZGMI-2001,192,5.4,0.3,40.7,1.5,0
DR094,"Jotang, segar",DABM-1964,34,1.9,0.3,7.1,3.5,0
DR095,"Kabau, segar",KZGMI-2001,130,6.7,0.3,25.2,2.9,0
DR096,"Kacang mekah, polong, segar",KZGPI-1990,22,1.1,1,3.4,1.1,0
DR097,"Kacang panjang, segar",KZGMI-2001,31,2.3,0.1,5.3,2.7,0
DR098,Kacang ranti polong,KZGPI-1990,37,3.1,0.2,7.9,2.5,0
DR099,"Kalakai, segar",KZGMI-2001,38,2.4,0.2,6.6,5.8,0
DR100,"Kangkung, segar",KZGPI-1990,28,3.4,0.7,3.9,2,0
DR101,Kangkung tondano,KZGMI-2001,43,1.8,0.2,8.4,4.3,0
DR102,"Kapri muda, segar",DABM-1964,45,3.3,0.2,9,1.8,0
DR103,Karawila,KZGMI-2001,25,2.3,0.2,3.5,2.1,0
DR104,"Kecipir muda, segar",DABM-1964,32,2.9,0.2,5.8,5.5,0
DR105,"Kecombrang, segar",KZGPI-1990,34,0.9,1,6.7,2.6,0
DR106,"Kelawi,kluwih, segar",DABM-1964,118,1.5,0.3,27.2,5,0
DR107,"Kembang turi, segar",DABM-1964,51,1.8,0.6,9.6,5,0
DR109,"Ketimun, segar",KZGPI-1990,8,0.2,0.2,1.4,0.3,0
DR110,"Ketimun krai, segar",KZGPI-1990,10,0.5,0.2,2,0.6,0
DR111,"Ketimun madura, segar",KZGPI-1990,9,0.5,0.1,1.9,0.7,0
DR113,Kool kembang,DABM-1964,25,2.4,0.2,4.9,1.6,0
DR114,"Kool merah,kool putih",DABM-1964,29,1.4,0.2,5.3,1.9,0
DR115,"Koro kerupuk, polong",DABM-1964,128,8.3,0.7,22.1,,0
DR116,"Koro wedus, polong",DABM-1964,46,3,0.3,7.9,3.3,0
